Frame#,Color,x,y,x_max,y_max
0,Y,418,742,1920,1080
0,Y,1412,441,1920,1080
0,Y,674,172,1920,1080
0,Y,839,100,1920,1080
0,R,1080,995,1920,1080
0,R,1436,998,1920,1080
0,R,148,594,1920,1080
0,R,112,557,1920,1080
0,R,143,513,1920,1080
0,R,114,402,1920,1080
0,R,1297,389,1920,1080
0,R,1149,185,1920,1080
1,Y,419,742,1920,1080
1,Y,1412,440,1920,1080
1,Y,1179,212,1920,1080
1,Y,674,170,1920,1080
1,Y,838,97,1920,1080
1,R,1083,994,1920,1080
1,R,1436,996,1920,1080
1,R,147,592,1920,1080
1,R,143,513,1920,1080
1,R,114,401,1920,1080
1,R,1298,389,1920,1080
1,R,1151,184,1920,1080
2,Y,420,741,1920,1080
2,Y,1411,439,1920,1080
2,Y,673,169,1920,1080
2,Y,838,96,1920,1080
2,R,1083,995,1920,1080
2,R,1435,995,1920,1080
2,R,148,599,1920,1080
2,R,143,509,1920,1080
2,R,114,399,1920,1080
2,R,1297,388,1920,1080
2,R,1152,183,1920,1080
3,Y,420,740,1920,1080
3,Y,1410,438,1920,1080
3,Y,673,167,1920,1080
3,Y,837,95,1920,1080
3,R,1085,993,1920,1080
3,R,1434,992,1920,1080
3,R,143,591,1920,1080
3,R,141,508,1920,1080
3,R,113,398,1920,1080
3,R,1297,388,1920,1080
3,R,1153,182,1920,1080
4,Y,423,738,1920,1080
4,Y,1410,436,1920,1080
4,Y,674,166,1920,1080
4,Y,838,94,1920,1080
4,R,1088,989,1920,1080
4,R,1434,986,1920,1080
4,R,144,588,1920,1080
4,R,142,506,1920,1080
4,R,114,395,1920,1080
4,R,1298,387,1920,1080
4,R,1155,180,1920,1080
5,Y,425,736,1920,1080
5,Y,1410,434,1920,1080
5,Y,674,163,1920,1080
5,Y,837,92,1920,1080
5,R,1434,985,1920,1080
5,R,1090,986,1920,1080
5,R,142,581,1920,1080
5,R,143,504,1920,1080
5,R,115,393,1920,1080
5,R,1299,385,1920,1080
5,R,1157,177,1920,1080
6,Y,427,734,1920,1080
6,Y,1411,433,1920,1080
6,Y,676,161,1920,1080
6,Y,839,92,1920,1080
6,R,1433,985,1920,1080
6,R,1091,984,1920,1080
6,R,143,579,1920,1080
6,R,122,549,1920,1080
6,R,144,504,1920,1080
6,R,116,390,1920,1080
6,R,1300,384,1920,1080
6,R,1160,175,1920,1080
7,Y,428,732,1920,1080
7,Y,1411,431,1920,1080
7,Y,676,158,1920,1080
7,Y,837,91,1920,1080
7,R,1431,983,1920,1080
7,R,1094,982,1920,1080
7,R,145,579,1920,1080
7,R,116,549,1920,1080
7,R,142,502,1920,1080
7,R,115,388,1920,1080
7,R,1299,382,1920,1080
7,R,1161,172,1920,1080
8,Y,427,734,1920,1080
8,Y,1409,432,1920,1080
8,Y,674,161,1920,1080
8,Y,836,92,1920,1080
8,R,1427,987,1920,1080
8,R,1096,983,1920,1080
8,R,147,582,1920,1080
8,R,113,552,1920,1080
8,R,141,502,1920,1080
8,R,115,390,1920,1080
8,R,1298,384,1920,1080
8,R,1161,175,1920,1080
9,Y,424,735,1920,1080
9,Y,1407,434,1920,1080
9,Y,673,161,1920,1080
9,Y,833,94,1920,1080
9,R,1422,988,1920,1080
9,R,1096,983,1920,1080
9,R,143,582,1920,1080
9,R,110,554,1920,1080
9,R,136,505,1920,1080
9,R,112,390,1920,1080
9,R,1297,385,1920,1080
9,R,1160,175,1920,1080
10,Y,424,735,1920,1080
10,Y,1406,434,1920,1080
10,Y,673,161,1920,1080
10,Y,832,95,1920,1080
10,R,1419,988,1920,1080
10,R,1100,982,1920,1080
10,R,135,578,1920,1080
10,R,136,505,1920,1080
10,R,111,391,1920,1080
10,R,1296,385,1920,1080
10,R,1161,175,1920,1080
11,Y,424,735,1920,1080
11,Y,1406,434,1920,1080
11,Y,672,160,1920,1080
11,Y,832,94,1920,1080
11,R,1415,988,1920,1080
11,R,1103,981,1920,1080
11,R,141,587,1920,1080
11,R,110,552,1920,1080
11,R,135,504,1920,1080
11,R,111,389,1920,1080
11,R,1295,385,1920,1080
11,R,1162,175,1920,1080
12,Y,424,735,1920,1080
12,Y,1406,434,1920,1080
12,Y,672,160,1920,1080
12,Y,832,94,1920,1080
12,R,1412,989,1920,1080
12,R,1106,981,1920,1080
12,R,140,585,1920,1080
12,R,110,551,1920,1080
12,R,135,504,1920,1080
12,R,110,389,1920,1080
12,R,1295,385,1920,1080
12,R,1163,175,1920,1080
13,Y,423,733,1920,1080
13,Y,1406,432,1920,1080
13,Y,672,157,1920,1080
13,Y,831,92,1920,1080
13,R,1412,988,1920,1080
13,R,1110,980,1920,1080
13,R,139,580,1920,1080
13,R,106,549,1920,1080
13,R,134,502,1920,1080
13,R,110,387,1920,1080
13,R,1295,383,1920,1080
13,R,1163,172,1920,1080
14,Y,422,734,1920,1080
14,Y,1405,433,1920,1080
14,Y,672,157,1920,1080
14,Y,830,91,1920,1080
14,R,1408,988,1920,1080
14,R,1113,982,1920,1080
14,R,136,580,1920,1080
14,R,105,550,1920,1080
14,R,132,503,1920,1080
14,R,108,387,1920,1080
14,R,1294,383,1920,1080
14,R,1163,172,1920,1080
15,Y,421,733,1920,1080
15,Y,1404,433,1920,1080
15,Y,670,155,1920,1080
15,Y,829,90,1920,1080
15,R,1407,988,1920,1080
15,R,1115,984,1920,1080
15,R,134,578,1920,1080
15,R,104,549,1920,1080
15,R,132,501,1920,1080
15,R,1294,384,1920,1080
15,R,107,385,1920,1080
15,R,1163,171,1920,1080
16,Y,420,735,1920,1080
16,Y,1402,435,1920,1080
16,Y,670,157,1920,1080
16,Y,827,91,1920,1080
16,R,1405,990,1920,1080
16,R,1120,986,1920,1080
16,R,135,579,1920,1080
16,R,103,550,1920,1080
16,R,132,502,1920,1080
16,R,1293,386,1920,1080
16,R,106,386,1920,1080
16,R,1162,173,1920,1080
17,Y,420,736,1920,1080
17,Y,1402,436,1920,1080
17,Y,670,157,1920,1080
17,Y,827,91,1920,1080
17,R,1403,990,1920,1080
17,R,1125,987,1920,1080
17,R,142,579,1920,1080
17,R,104,550,1920,1080
17,R,133,503,1920,1080
17,R,106,386,1920,1080
17,R,1292,386,1920,1080
17,R,1163,173,1920,1080
18,Y,422,734,1920,1080
18,Y,1407,434,1920,1080
18,Y,671,155,1920,1080
18,Y,828,89,1920,1080
18,R,1132,988,1920,1080
18,R,1404,988,1920,1080
18,R,143,578,1920,1080
18,R,109,543,1920,1080
18,R,136,501,1920,1080
18,R,107,385,1920,1080
18,R,1295,384,1920,1080
18,R,1164,171,1920,1080
19,Y,423,733,1920,1080
19,Y,1408,433,1920,1080
19,Y,672,153,1920,1080
19,Y,829,88,1920,1080
19,R,1138,989,1920,1080
19,R,1404,987,1920,1080
19,R,143,577,1920,1080
19,R,111,541,1920,1080
19,R,138,500,1920,1080
19,R,1296,384,1920,1080
19,R,109,384,1920,1080
19,R,1166,169,1920,1080
20,Y,424,734,1920,1080
20,Y,1406,434,1920,1080
20,Y,672,153,1920,1080
20,Y,829,86,1920,1080
20,R,1142,990,1920,1080
20,R,1405,987,1920,1080
20,R,142,576,1920,1080
20,R,109,543,1920,1080
20,R,139,500,1920,1080
20,R,1297,384,1920,1080
20,R,110,382,1920,1080
20,R,1166,168,1920,1080
21,Y,423,734,1920,1080
21,Y,1407,433,1920,1080
21,Y,672,152,1920,1080
21,Y,828,85,1920,1080
21,R,1145,992,1920,1080
21,R,1402,985,1920,1080
21,R,141,576,1920,1080
21,R,107,544,1920,1080
21,R,138,499,1920,1080
21,R,1296,383,1920,1080
21,R,109,381,1920,1080
21,R,1165,167,1920,1080
22,Y,422,733,1920,1080
22,Y,1403,433,1920,1080
22,Y,670,152,1920,1080
22,Y,826,83,1920,1080
22,R,1147,993,1920,1080
22,R,1401,984,1920,1080
22,R,140,579,1920,1080
22,R,104,543,1920,1080
22,R,137,498,1920,1080
22,R,1293,382,1920,1080
22,R,107,380,1920,1080
22,R,1163,166,1920,1080
23,Y,421,733,1920,1080
23,Y,1402,433,1920,1080
23,Y,669,152,1920,1080
23,Y,827,81,1920,1080
23,R,1151,993,1920,1080
23,R,1401,984,1920,1080
23,R,138,579,1920,1080
23,R,104,541,1920,1080
23,R,136,497,1920,1080
23,R,1293,382,1920,1080
23,R,107,380,1920,1080
23,R,1161,165,1920,1080
24,Y,421,733,1920,1080
24,Y,1402,433,1920,1080
24,Y,668,150,1920,1080
24,Y,827,79,1920,1080
24,R,1154,995,1920,1080
24,R,1401,982,1920,1080
24,R,135,577,1920,1080
24,R,102,540,1920,1080
24,R,135,496,1920,1080
24,R,1293,382,1920,1080
24,R,107,379,1920,1080
24,R,1161,163,1920,1080
25,Y,421,733,1920,1080
25,Y,1402,433,1920,1080
25,Y,667,149,1920,1080
25,Y,828,77,1920,1080
25,R,1157,996,1920,1080
25,R,1401,983,1920,1080
25,R,134,574,1920,1080
25,R,101,539,1920,1080
25,R,133,495,1920,1080
25,R,1293,382,1920,1080
25,R,107,378,1920,1080
25,R,1160,163,1920,1080
26,Y,419,734,1920,1080
26,Y,1403,433,1920,1080
26,Y,666,150,1920,1080
26,Y,827,76,1920,1080
26,R,1159,998,1920,1080
26,R,1400,983,1920,1080
26,R,130,573,1920,1080
26,R,97,539,1920,1080
26,R,129,496,1920,1080
26,R,1293,381,1920,1080
26,R,105,379,1920,1080
26,R,1158,162,1920,1080
27,Y,417,735,1920,1080
27,Y,1402,433,1920,1080
27,Y,664,151,1920,1080
27,Y,827,76,1920,1080
27,R,1160,1000,1920,1080
27,R,1400,983,1920,1080
27,R,127,577,1920,1080
27,R,91,542,1920,1080
27,R,126,494,1920,1080
27,R,1291,383,1920,1080
27,R,105,378,1920,1080
27,R,1155,162,1920,1080
28,Y,416,736,1920,1080
28,Y,1401,435,1920,1080
28,Y,663,151,1920,1080
28,Y,826,75,1920,1080
28,R,1161,1002,1920,1080
28,R,1400,983,1920,1080
28,R,127,573,1920,1080
28,R,125,493,1920,1080
28,R,1291,383,1920,1080
28,R,104,379,1920,1080
28,R,1153,163,1920,1080
29,Y,414,738,1920,1080
29,Y,1399,435,1920,1080
29,Y,663,152,1920,1080
29,Y,825,75,1920,1080
29,R,1162,1004,1920,1080
29,R,1400,983,1920,1080
29,R,127,572,1920,1080
29,R,88,538,1920,1080
29,R,121,493,1920,1080
29,R,1290,385,1920,1080
29,R,105,378,1920,1080
29,R,1149,163,1920,1080
30,Y,414,739,1920,1080
30,Y,1399,436,1920,1080
30,Y,663,152,1920,1080
30,Y,827,75,1920,1080
30,R,1162,1006,1920,1080
30,R,1400,984,1920,1080
30,R,131,573,1920,1080
30,R,101,538,1920,1080
30,R,118,494,1920,1080
30,R,1291,384,1920,1080
30,R,103,378,1920,1080
30,R,1146,163,1920,1080
31,Y,413,740,1920,1080
31,Y,1400,437,1920,1080
31,Y,663,152,1920,1080
31,Y,826,75,1920,1080
31,R,1163,1007,1920,1080
31,R,1400,983,1920,1080
31,R,133,563,1920,1080
31,R,118,490,1920,1080
31,R,1292,384,1920,1080
31,R,103,378,1920,1080
31,R,1144,162,1920,1080
32,Y,413,741,1920,1080
32,Y,1398,437,1920,1080
32,Y,663,152,1920,1080
32,Y,826,75,1920,1080
32,R,1164,1009,1920,1080
32,R,1399,984,1920,1080
32,R,125,566,1920,1080
32,R,116,490,1920,1080
32,R,1291,384,1920,1080
32,R,104,378,1920,1080
32,R,1140,161,1920,1080
33,Y,413,741,1920,1080
33,Y,1398,437,1920,1080
33,Y,664,152,1920,1080
33,Y,826,75,1920,1080
33,R,1164,1009,1920,1080
33,R,1399,985,1920,1080
33,R,139,591,1920,1080
33,R,125,566,1920,1080
33,R,115,489,1920,1080
33,R,1291,385,1920,1080
33,R,103,379,1920,1080
33,R,1138,161,1920,1080
34,Y,413,741,1920,1080
34,Y,1398,438,1920,1080
34,Y,664,153,1920,1080
34,R,1163,1011,1920,1080
34,R,1398,986,1920,1080
34,R,131,569,1920,1080
34,R,112,488,1920,1080
34,R,1290,385,1920,1080
34,R,104,379,1920,1080
34,R,1135,161,1920,1080
35,Y,412,742,1920,1080
35,Y,1397,438,1920,1080
35,Y,662,153,1920,1080
35,Y,824,75,1920,1080
35,R,1163,1012,1920,1080
35,R,1397,986,1920,1080
35,R,130,570,1920,1080
35,R,109,488,1920,1080
35,R,1290,385,1920,1080
35,R,103,379,1920,1080
35,R,1130,160,1920,1080
36,Y,411,743,1920,1080
36,Y,1396,439,1920,1080
36,Y,661,154,1920,1080
36,R,1161,1014,1920,1080
36,R,1397,988,1920,1080
36,R,130,570,1920,1080
36,R,107,488,1920,1080
36,R,1290,385,1920,1080
36,R,102,380,1920,1080
36,R,1127,161,1920,1080
37,Y,410,743,1920,1080
37,Y,1397,440,1920,1080
37,Y,661,155,1920,1080
37,R,1162,1015,1920,1080
37,R,1396,990,1920,1080
37,R,130,569,1920,1080
37,R,107,488,1920,1080
37,R,1289,387,1920,1080
37,R,102,381,1920,1080
37,R,1125,161,1920,1080
38,Y,411,743,1920,1080
38,Y,1396,440,1920,1080
38,Y,1164,205,1920,1080
38,Y,662,155,1920,1080
38,R,1161,1014,1920,1080
38,R,1395,990,1920,1080
38,R,130,592,1920,1080
38,R,128,560,1920,1080
38,R,106,487,1920,1080
38,R,1290,387,1920,1080
38,R,103,381,1920,1080
38,R,1122,161,1920,1080
39,Y,410,743,1920,1080
39,Y,1396,440,1920,1080
39,Y,662,156,1920,1080
39,R,1161,1015,1920,1080
39,R,1396,992,1920,1080
39,R,128,568,1920,1080
39,R,106,487,1920,1080
39,R,1288,386,1920,1080
39,R,103,381,1920,1080
39,R,1118,161,1920,1080
40,Y,409,744,1920,1080
40,Y,1397,441,1920,1080
40,Y,662,156,1920,1080
40,R,1160,1015,1920,1080
40,R,1394,992,1920,1080
40,R,128,568,1920,1080
40,R,80,532,1920,1080
40,R,106,487,1920,1080
40,R,1290,388,1920,1080
40,R,102,382,1920,1080
40,R,1115,162,1920,1080
41,Y,410,744,1920,1080
41,Y,1397,441,1920,1080
41,Y,1163,208,1920,1080
41,Y,662,157,1920,1080
41,R,1159,1015,1920,1080
41,R,1393,993,1920,1080
41,R,126,568,1920,1080
41,R,80,532,1920,1080
41,R,108,486,1920,1080
41,R,1290,388,1920,1080
41,R,102,382,1920,1080
41,R,1113,162,1920,1080
42,Y,410,743,1920,1080
42,Y,1397,441,1920,1080
42,Y,663,157,1920,1080
42,R,1159,1015,1920,1080
42,R,1392,995,1920,1080
42,R,126,568,1920,1080
42,R,108,484,1920,1080
42,R,1290,388,1920,1080
42,R,103,382,1920,1080
42,R,1110,162,1920,1080
43,Y,410,743,1920,1080
43,Y,1396,442,1920,1080
43,Y,663,157,1920,1080
43,R,1158,1015,1920,1080
43,R,1391,995,1920,1080
43,R,126,567,1920,1080
43,R,107,486,1920,1080
43,R,1290,389,1920,1080
43,R,103,382,1920,1080
43,R,1108,160,1920,1080
44,Y,409,743,1920,1080
44,Y,1395,442,1920,1080
44,Y,663,158,1920,1080
44,Y,823,78,1920,1080
44,R,1157,1016,1920,1080
44,R,1390,995,1920,1080
44,R,125,568,1920,1080
44,R,81,532,1920,1080
44,R,107,485,1920,1080
44,R,1289,389,1920,1080
44,R,102,382,1920,1080
44,R,1105,161,1920,1080
45,Y,408,744,1920,1080
45,Y,1395,442,1920,1080
45,Y,662,158,1920,1080
45,R,1156,1016,1920,1080
45,R,1389,997,1920,1080
45,R,125,569,1920,1080
45,R,81,532,1920,1080
45,R,106,487,1920,1080
45,R,1289,389,1920,1080
45,R,101,382,1920,1080
45,R,1103,161,1920,1080
46,Y,409,744,1920,1080
46,Y,1395,442,1920,1080
46,Y,1163,208,1920,1080
46,Y,663,158,1920,1080
46,Y,823,79,1920,1080
46,R,1155,1014,1920,1080
46,R,1389,997,1920,1080
46,R,125,568,1920,1080
46,R,82,532,1920,1080
46,R,107,486,1920,1080
46,R,1290,389,1920,1080
46,R,101,382,1920,1080
46,R,1103,160,1920,1080
47,Y,409,744,1920,1080
47,Y,1395,442,1920,1080
47,Y,663,159,1920,1080
47,Y,822,79,1920,1080
47,R,1154,1013,1920,1080
47,R,1389,996,1920,1080
47,R,127,568,1920,1080
47,R,107,487,1920,1080
47,R,1290,388,1920,1080
47,R,101,382,1920,1080
47,R,1102,160,1920,1080
48,Y,410,743,1920,1080
48,Y,1395,442,1920,1080
48,Y,1163,208,1920,1080
48,Y,664,159,1920,1080
48,Y,822,79,1920,1080
48,R,1152,1011,1920,1080
48,R,1389,996,1920,1080
48,R,129,567,1920,1080
48,R,108,487,1920,1080
48,R,1290,389,1920,1080
48,R,101,381,1920,1080
48,R,1102,159,1920,1080
49,Y,409,743,1920,1080
49,Y,1395,443,1920,1080
49,Y,1161,212,1920,1080
49,Y,664,159,1920,1080
49,Y,824,81,1920,1080
49,R,1151,1010,1920,1080
49,R,1386,997,1920,1080
49,R,128,567,1920,1080
49,R,108,487,1920,1080
49,R,1290,389,1920,1080
49,R,102,381,1920,1080
49,R,1102,158,1920,1080
50,Y,409,743,1920,1080
50,Y,1395,442,1920,1080
50,Y,1163,208,1920,1080
